DE-BB,Brandenburg,2521893
DE-BE,Berlin,3669491
DE-BW,Baden-wuerttemberg,11100394
DE-BY,Bayern,13124737
DE-HB,Bremen,681202
DE-HE,Hessen,6288080
DE-HH,Hamburg,1847253
DE-MV,Mecklenburg-vorpommern,1608138
DE-NI,Niedersachsen,7993608
DE-NW,Nordrhein-westfalen,17947221
DE-RP,Rheinland-pfalz,4093903
DE-SH,Schleswig-holstein,2903773
DE-SL,Saarland,986887
DE-SN,Sachsen,4071971
DE-ST,Sachsen-anhalt,2194782
DE-TH,Thueringen,2133378
